Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call_hist,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,IV_30_D_Call,iv_surface_source,iv_surface_date,iv_surface_age_days,days_to_earnings,earnings_proximity_flag,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,SMA20,SMA50,Atr_Pct,Chart_Source,Universal_Data_Complete,Directional_Data_Complete,Completeness_Score,Completeness_Reason,Crossover_Age_Bucket
BKNG,2026-01-05 10:32:57.692418,2026-01-05,,schwab,5419.54,74480.0,lastPrice,1767637688220,1767637685635,292.057,True,OPEN,OK,COMPUTED,22.345,12.77197390652681,19.590403285765127,26.062666349704905,28.770116746769368,26.39174964354713,12.77197390652681,19.590403285765127,26.062666349704905,28.770116746769368,26.39174964354713,24.49207181535426,23.73976719263435,24.019854503297744,-13.290692443178097,Normal_Contraction,5445.2,5281.535,5293.2,5323.2,5839.414,4096.23,96.34,1.80981365,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bullish,1.129710315830055,5.736712206808196,Falling,39.3798411819273,59.5431324922324,Strong,13.247932267720428,True,0.5928812829590704,Bull Flag,70.0,Bullish Engulfing,Strong,True,-3.7176663497049063,Bullish,Unknown,3.0199057484583554,0.563570784490532,84.32163260318342,NORMAL,NO_GAP,NEAR_HIGH,7.190344784596533,32.305559014020226,75.91338607972538,MID_RANGE,NEUTRAL,96.34,1.80981365,NORMAL,MODERATE,21.01,21.15,21.22,21.79,25.17,26.64,26.69,27.5,27.8,28.41,29.06,30.94,30.93,21.01,21.14,21.17,21.6,24.82,26.39,26.27,26.97,27.21,27.54,27.92,29.31,29.17,22.345,historical_latest,2025-12-29,7,45.0,False,22.345,26.062666349704905,3.7176663497049063,-3.600116746769366,0.2482503564528713,3.780145496702257,5.040145496702255,-14.264336195774534,-12.513389425761117,0.9406362208106552,15.737586987395247,20.983247404809557,True,True,True,True,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
AZO,2026-01-05 10:32:57.692418,2026-01-05,,schwab,3261.88,80462.0,lastPrice,1767637714105,1767637706430,271.262,True,OPEN,OK,COMPUTED,23.344,17.378229400118755,30.92739149072695,29.16228959159735,25.86219326219384,23.53051455500406,17.378229400118755,30.92739149072695,29.16228959159735,25.86219326219384,23.53051455500406,22.90160590040791,22.83427367598225,22.82449072910171,-11.784060191478597,Normal_Contraction,3288.0,3232.48,3259.95,3303.82,4388.11,3162.0,-41.94,-1.26943962,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-5.589588342398215,-10.93815785717458,Falling,64.52228388875352,30.789952909357908,Strong,17.36514501989989,True,0.7438804412225792,Descending Triangle,64.0,,,False,-5.818289591597349,Bearish,Unknown,1.7020859136448914,1.3278568445012242,52.953890489913725,NORMAL,NO_GAP,MID_RANGE,25.665491521406704,3.158760278304874,8.146088034515675,NEAR_52W_LOW,CONTRARIAN,-41.94,-1.26943962,NORMAL,MODERATE,22.73,22.73,22.96,23.38,24.9,27.06,27.32,27.48,27.58,27.79,28.74,28.74,28.74,22.61,22.61,22.83,23.23,24.65,26.63,26.76,26.85,26.87,26.83,27.61,27.61,27.61,23.344,historical_latest,2025-12-29,7,57.0,False,23.344,29.16228959159735,5.818289591597349,-0.9621932621938427,3.529485444995938,4.755509270898287,5.915509270898287,-19.951415588691628,-3.720462732758272,14.999610130690272,20.83511666192364,25.91737682609447,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
MELI,2026-01-05 10:32:57.692418,2026-01-05,,schwab,2164.97,738495.0,lastPrice,1767637728533,1767637728533,249.159,True,OPEN,OK,COMPUTED,34.215,48.28966510996793,45.286900439456986,48.10624620561217,46.45516531154793,43.8456016555887,48.28966510996793,45.286900439456986,48.10624620561217,46.45516531154793,43.8456016555887,40.03791512474045,38.00454920658149,37.15225178862207,0.1834189043557543,High_Compression,2211.9253,2010.8945,2011.94,1973.7,2645.22,1707.31,191.27,9.69093581,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Stable,,False,Unknown,Bullish,7.706358423331422,3.8188235866819755,Rising,37.50201023818216,66.52028000617031,Strong,50.41210211884702,True,1.4733918491552538,,0.0,,,False,-13.89124620561217,Bullish,Unknown,9.28561596696489,1.9374778335106657,76.64273335230217,EXPANSION,NO_GAP,NEAR_HIGH,18.155389721837885,26.805911053060072,48.79572666887014,MID_RANGE,NEUTRAL,191.27,9.69093581,STRONG_UP_DAY,LATE_LONG,32.73,32.66,32.51,32.46,35.18,38.16,38.87,39.71,39.26,39.94,40.69,42.47,42.33,32.13,32.28,33.0,32.44,35.09,38.04,38.47,39.11,38.66,39.28,39.52,40.45,40.34,34.215,historical_latest,2025-12-29,7,50.0,False,34.215,48.10624620561217,13.89124620561217,-11.27516531154793,-5.685601655588705,2.107748211377931,3.537748211377931,-28.876179916926443,-24.271069182365228,-12.967324978796363,5.6732717665943255,9.522298221668953,True,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
MKL,2026-01-05 10:32:57.692418,2026-01-05,,schwab,2149.89,21185.0,lastPrice,1767637686717,1767637716748,260.944,True,OPEN,OK,COMPUTED,18.596,11.155773622337884,13.593462705852192,12.497577891639072,19.604164041701985,18.336548951633315,11.155773622337884,13.593462705852192,12.497577891639072,19.604164041701985,18.336548951633315,19.053368145940304,18.46720101015343,19.107436073629984,-1.3418042693011871,Low_Compression,2172.31,2112.99,2117.85,2130.36,2207.59,1621.893,19.53,0.91674647,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bullish,0.4566284666893014,4.3614869021813005,Falling,36.88580402392613,45.900893886926816,Strong,11.596592082729437,True,0.6236068016094556,Double Bottom,70.0,Bullish Engulfing,Strong,True,6.0984221083609285,Bullish,Unknown,2.7592109363734965,0.5872246944178551,62.20498988536748,NORMAL,NO_GAP,MID_RANGE,2.613709973319333,32.55436702667808,90.14848974811204,MID_RANGE,NEUTRAL,19.53,0.91674647,NORMAL,MODERATE,13.48,13.48,14.68,16.61,18.15,17.59,17.75,18.45,18.91,19.13,19.13,19.13,19.13,13.31,13.31,14.49,16.39,17.84,17.14,17.21,17.84,18.25,18.45,18.45,18.45,18.45,18.596,historical_latest,2025-12-29,7,-68.0,False,18.596,12.497577891639072,6.0984221083609285,-1.4541640417019863,-0.746548951633315,-0.1974360736299836,0.022563926370015253,48.79683216410115,-7.417628411028841,-4.07137108298024,-1.033294435052244,0.118089765068771,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
FCNCA,2026-01-05 10:32:57.692418,2026-01-05,,schwab,2206.28,40019.0,lastPrice,1767637417795,1767637414092,563.6,True,OPEN,OK,COMPUTED,28.154,15.926908584957152,19.30937684917364,18.300064329443888,27.265514148734,26.55937029139381,15.926908584957152,19.30937684917364,18.300064329443888,27.265514148734,26.55937029139381,26.47040271232185,26.44402109230162,26.85471921006897,-2.373155744486736,Normal_Compression,2220.1845,2154.88,2161.48,2158.64,2412.929,1473.62,47.64,2.20694511,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bullish,4.6098013493886505,13.592881402332491,Falling,78.78156950376987,82.20214725795034,Strong,15.31996421906569,True,0.5441487610664805,Bull Flag,70.0,,,False,9.853935670556112,Bullish,Unknown,2.959937088674136,0.13156431827447584,78.70820540697854,NORMAL,NO_GAP,NEAR_HIGH,8.564238732262734,49.718380586582725,77.99989140953618,MID_RANGE,NEUTRAL,47.64,2.20694511,STRONG_UP_DAY,LATE_LONG,21.47,21.47,23.18,25.97,28.75,29.33,29.61,29.79,29.91,30.06,30.06,30.06,30.06,21.44,21.44,23.11,25.84,28.55,29.04,29.29,29.37,29.37,29.37,29.37,29.37,29.37,28.154,historical_latest,2025-12-29,7,18.0,False,28.154,18.300064329443888,9.853935670556112,1.484485851266001,2.7706297086061866,3.055280789931029,3.2052807899310274,53.84645372367146,5.444554770425737,10.431835085728558,11.377072186200609,11.935633230263797,True,False,True,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
FICO,2026-01-05 10:32:57.692418,2026-01-05,,schwab,1655.205,111103.0,lastPrice,1767637686856,1767637705050,272.642,True,OPEN,OK,COMPUTED,42.739,24.848995054313463,27.737922217745687,29.310417817105233,32.76858209769283,46.20639708910718,24.848995054313463,27.737922217745687,29.310417817105233,32.76858209769283,46.20639708910718,43.605496580338695,43.439261934222216,49.921142693277794,-4.46142276279177,Normal_Compression,1674.34,1637.89,1637.89,1643.27,2217.6,1300.0,11.935,0.72629574,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-5.687732315987979,-4.540733160482854,Falling,25.26849295552923,19.647574404756156,Strong,24.179897621027607,True,0.5657572152139172,,0.0,,,False,13.428582182894765,Bearish,Unknown,2.2021441452871287,0.3273959848351082,47.50342935528097,NORMAL,NO_GAP,MID_RANGE,25.360524891774894,27.323461538461537,38.71022231909328,MID_RANGE,NEUTRAL,11.935,0.72629574,NORMAL,MODERATE,33.44,33.44,34.76,37.02,38.71,37.52,37.85,38.78,38.77,40.3,40.71,42.77,42.88,33.15,33.15,34.5,36.82,38.52,37.21,37.44,38.23,38.14,39.5,39.61,40.78,40.84,42.739,historical_latest,2025-12-29,7,29.0,False,42.739,29.310417817105233,13.428582182894765,5.9414179023071725,-8.686397089107174,-11.15114269327779,-9.211142693277793,45.815048651602616,18.1314464098387,-18.79912227814648,-22.337514911851898,-18.451385918532136,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
TDG,2026-01-05 10:32:57.692418,2026-01-05,,schwab,1375.6234,169757.0,lastPrice,1767637704337,1767637713581,264.111,True,OPEN,OK,COMPUTED,24.255,13.266868618852117,19.466944254548014,18.143948533054456,22.366252837611523,20.647508365959087,13.266868618852117,19.466944254548014,18.143948533054456,22.366252837611523,20.647508365959087,28.248814621846215,26.374591077377012,26.762495303074935,-4.877079914202341,Normal_Compression,1388.0,1358.29,1358.29,1358.55,1623.825,1183.6,17.0734,1.25673696,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bullish,4.874713641886867,4.137748139233114,Falling,48.217937186615984,75.63627466591065,Strong,13.179235703486746,True,0.5433616039367861,Ascending Triangle,63.0,,,False,6.111051466945543,Bullish,Unknown,2.1597480822149464,0.01913805159913076,58.34197239986524,NORMAL,NO_GAP,MID_RANGE,15.28499684387173,16.22367353835756,43.61937645522176,MID_RANGE,NEUTRAL,17.0734,1.25673696,NORMAL,MODERATE,21.99,21.99,22.79,24.19,25.66,26.06,26.25,26.2,26.21,27.18,28.21,28.21,28.21,21.4,21.4,22.27,23.78,25.27,25.54,25.67,25.61,25.59,26.32,27.01,27.01,27.01,24.255,historical_latest,2025-12-29,7,29.0,False,24.255,18.143948533054456,6.111051466945543,3.2937471623884775,5.4124916340409115,-0.5524953030749344,1.4475046969250656,33.68093475250161,14.726414774537686,26.213776200543016,-2.0644386736667797,5.408706028838616,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
NFLX,2026-01-05 10:32:57.692418,2026-01-05,,schwab,91.735,23805565.0,lastPrice,1767637726520,1767637727524,250.168,True,OPEN,OK,COMPUTED,38.82,17.658428385057675,25.863534063865067,30.797001637701488,35.87495933809178,32.273083078528956,17.658428385057675,25.863534063865067,30.797001637701488,35.87495933809178,32.273083078528956,31.253537348992687,29.709381492207363,29.689787852700405,-13.138573252643813,Normal_Contraction,92.63,90.84,90.92,90.99,134.115,82.11,0.745,0.81877129,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-2.746082577136567,-11.285480383034145,Falling,36.59338637073733,33.13812429533361,Strong,18.082412967192795,True,0.46580146747019047,Descending Triangle,64.0,,,False,8.022998362298512,Bearish,Unknown,1.951272687632847,0.07693153093745816,50.0,NORMAL,NO_GAP,MID_RANGE,31.59974648622451,11.722080136402386,18.507835785020667,MID_RANGE,NEUTRAL,0.745,0.81877129,NORMAL,MODERATE,27.26,27.85,37.43,42.86,38.01,37.15,37.92,38.11,37.67,37.98,38.55,39.57,40.26,27.19,27.73,37.21,42.4,37.75,36.76,37.43,37.51,37.12,37.13,37.46,37.57,37.74,38.82,historical_latest,2025-12-29,7,15.0,False,38.82,30.797001637701488,8.022998362298512,2.1350406619082207,4.876916921471043,7.980212147299596,8.860212147299592,26.05123205395687,5.951339600937888,15.111406956702009,26.878643211907505,29.84262532038847,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
MTD,2026-01-05 10:32:57.692418,2026-01-05,,schwab,1440.59,44724.0,lastPrice,1767637658450,1767637713830,263.862,True,OPEN,OK,COMPUTED,30.306,15.072804674873492,20.809203578240208,22.77672323340674,23.95972590732159,25.62556265006758,15.072804674873492,20.809203578240208,22.77672323340674,23.95972590732159,25.62556265006758,26.98810290661065,26.522780555073624,30.34811213689145,-7.70391855853325,Normal,1452.71,1408.24,1408.24,1411.39,1525.17,946.69,29.2,2.06888245,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bullish,2.6894741093086294,1.5943600406012308,Falling,42.463299878784326,65.82339354567046,Strong,15.705543022202331,True,0.5182321329836446,,0.0,,,False,7.529276766593259,Bullish,Unknown,3.0869296607639947,0.2231842368161947,72.7456712390373,NORMAL,NO_GAP,NEAR_HIGH,5.54561130890328,52.17124930019329,85.37892407689114,MID_RANGE,NEUTRAL,29.2,2.06888245,STRONG_UP_DAY,LATE_LONG,24.92,24.92,26.19,28.35,29.96,28.9,28.79,29.34,29.69,30.16,30.71,30.71,30.71,24.62,24.62,25.92,28.12,29.7,28.48,28.28,28.74,29.05,29.28,29.74,29.74,29.74,30.306,historical_latest,2025-12-29,7,-60.0,False,30.306,22.77672323340674,7.529276766593259,6.00027409267841,3.2744373499324197,-0.6581121368914502,0.36188786310854937,33.05689185154618,25.043166670136458,12.778011529529417,-2.168543907848037,1.1924559309527365,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
TPL,2026-01-05 10:32:57.692418,2026-01-05,,schwab,295.94,209552.0,lastPrice,1767637713486,1767637667734,309.958,True,OPEN,OK,COMPUTED,,32.096307673529836,44.13966524845233,41.45049029772546,42.76192633803199,41.53490238652548,32.096307673529836,44.13966524845233,41.45049029772546,42.76192633803199,41.53490238652548,41.34615310328724,39.237771239477816,39.96317123969789,-9.354182624195625,High,307.435,292.53,306.91,297.97,1462.78,280.95,-2.03,-0.68127664,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Neutral,0.6058885155365134,-2.4126681959306424,Falling,15.132001660867644,60.148346870619044,Moderate,32.32393160193494,True,,,0.0,,,False,,Bidirectional,Unknown,5.036493883895394,3.000302043829915,22.878228782287945,EXPANSION,GAP_UP,NEAR_LOW,79.76865967541256,5.335468944652077,1.2683719316652995,NEAR_52W_LOW,CONTRARIAN,-2.03,-0.68127664,NORMAL,MODERATE,40.68,40.68,40.87,41.2,41.82,42.21,41.87,41.71,41.61,41.55,41.55,41.55,41.55,41.27,41.27,41.44,41.75,41.89,41.24,40.8,40.92,41.0,41.04,41.04,41.04,41.04,,historical_latest,2025-12-29,7,-61.0,False,,41.45049029772546,,-0.9419263380319904,0.6750976134745201,1.6468287603021068,1.5868287603021045,,-2.2027219507982068,1.6253742628116334,4.120866060464715,3.9707278253378684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.6000000000000001,No_IV|Limited_Charts|Has_Trend,None
KLAC,2026-01-05 10:32:57.692418,2026-01-05,,schwab,1358.985,750130.0,lastPrice,1767637728047,1767637722469,255.223,True,OPEN,OK,COMPUTED,45.596,37.24678635301811,36.651290121395725,39.03445373320714,40.69794984821661,39.301618960640994,37.24678635301811,36.651290121395725,39.03445373320714,40.69794984821661,39.301618960640994,39.49835026288842,37.07693437982468,38.23204159357239,-1.7876673801890206,Normal_Compression,1371.89,1304.0,1309.97,1274.47,1371.89,551.33,84.515,6.63138403,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Stable,,False,Unknown,Bullish,9.308525628348425,12.895779547031058,Stable,17.951209527278433,70.66369120207003,Moderate,45.00107996417556,True,0.9869523634567848,Double Bottom,70.0,,,False,6.56154626679286,Bullish,Unknown,4.9956401284782475,2.7854716078055977,80.99130947120315,NORMAL,GAP_UP,NEAR_HIGH,0.9406730860346092,146.49211905755172,98.42729355562054,NEAR_52W_HIGH,MOMENTUM,84.515,6.63138403,STRONG_UP_DAY,LATE_LONG,39.41,39.41,40.23,41.66,42.97,42.67,43.08,43.77,43.74,43.72,44.1,43.77,43.75,39.22,39.22,40.04,41.48,42.79,42.41,42.73,43.4,43.29,43.16,42.99,41.98,41.92,45.596,historical_latest,2025-12-29,7,24.0,False,45.596,39.03445373320714,6.56154626679286,2.2720501517833895,3.368381039359008,5.507958406427612,5.867958406427611,16.809627493802644,5.582714019396609,8.570591055631342,14.40665519508541,15.348273756361833,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
AXON,2026-01-05 10:32:57.692418,2026-01-05,,schwab,598.7,369557.0,lastPrice,1767637713067,1767637702424,275.268,True,OPEN,OK,COMPUTED,40.136,43.99881584249481,38.430084746429365,32.759658979528105,45.384510976622344,43.15064456520856,43.99881584249481,38.430084746429365,32.759658979528105,45.384510976622344,43.15064456520856,47.139968527528495,45.86936188978756,46.44675067061629,11.239156862966702,Normal_Expansion,601.69,568.3611,569.65,563.45,885.915,469.2434,35.25,6.25610081,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Rising,,False,Unknown,Bullish,4.994493235123143,1.1619293449522472,Falling,29.211273665489596,62.35210960736526,Strong,46.17935254896801,True,1.1505718693683478,Double Bottom,70.0,,,False,7.376341020471898,Bullish,Unknown,5.566878236178401,1.100363829976028,91.02880683130856,EXPANSION,NO_GAP,NEAR_HIGH,32.42015317496599,27.588368850792584,31.06921614048091,MID_RANGE,NEUTRAL,35.25,6.25610081,STRONG_UP_DAY,LATE_LONG,38.85,38.85,38.55,38.01,41.77,49.19,49.31,49.38,49.42,49.36,48.41,48.38,48.4,37.96,37.96,37.76,37.4,41.22,48.48,48.65,48.76,48.76,48.35,47.35,46.2,46.15,40.136,historical_latest,2025-12-29,7,50.0,False,40.136,32.759658979528105,7.376341020471898,-3.6145109766223413,6.039355434791439,2.9732493293837123,1.9632493293837072,22.516537870804637,-7.9641950499019,13.995979656027762,6.4014151398209345,4.226881969217541,True,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
INTU,2026-01-05 10:32:57.692418,2026-01-05,,schwab,633.93,1009101.0,lastPrice,1767637722286,1767637690238,287.454,True,OPEN,OK,COMPUTED,25.774,26.849008861343147,27.47582111907711,29.4003630977691,25.797821266766043,23.453485177143044,26.849008861343147,27.47582111907711,29.4003630977691,25.797821266766043,23.453485177143044,24.996954913925347,23.574525412136552,25.651962178856376,-2.5513542364259543,Normal_Compression,637.68,619.7,629.46,629.46,813.7,532.645,4.47,0.71013249,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-4.509961488055899,-3.726196344985979,Falling,25.174602052360836,33.445682971634966,Strong,26.52969779436533,True,1.0293201596323942,,0.0,,,False,-3.626363097769101,Bearish,Unknown,2.836275298534524,0.0,79.14349276974406,NORMAL,NO_GAP,NEAR_HIGH,22.092908934496755,19.015479353040014,36.03743039618578,MID_RANGE,NEUTRAL,4.47,0.71013249,NORMAL,MODERATE,26.02,25.67,25.81,25.79,28.75,30.78,30.05,30.81,30.98,31.92,32.18,33.83,33.92,24.78,25.21,25.74,25.46,28.38,30.54,30.16,30.62,30.67,31.31,31.5,32.19,32.23,25.774,historical_latest,2025-12-29,7,52.0,False,25.774,29.4003630977691,3.626363097769101,2.952178733233957,7.326514822856957,5.328037821143624,6.528037821143624,-12.334416026461486,11.443519600769896,31.238490857627955,20.770488370418924,25.448493084573304,True,True,True,True,False,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
LLY,2026-01-05 10:32:57.692418,2026-01-05,,schwab,1041.325,2153523.0,lastPrice,1767637718840,1767637726583,251.109,True,OPEN,OK,COMPUTED,35.623,21.77354789394868,23.904169931688827,25.805133166416187,27.47097269007806,29.14333015660615,21.77354789394868,23.904169931688827,25.805133166416187,27.47097269007806,29.14333015660615,38.68843636583569,36.21209756221538,42.25997562260771,-4.031585272467506,Normal_Compression,1085.38,1033.3801,1069.23,1080.36,1111.99,623.78,-39.035,-3.61314747,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Neutral,-0.6453590541232527,3.96937770888205,Falling,38.31040687304435,54.58842628725463,Strong,21.062943915575524,True,0.5912737252779251,,0.0,,,False,9.81786683358381,Bidirectional,Unknown,4.99362831008571,1.030212151505043,15.278683228236895,NORMAL,NO_GAP,NEAR_LOW,6.354823334742216,66.93786270800605,85.52569590954712,MID_RANGE,NEUTRAL,-39.035,-3.61314747,STRONG_DOWN_DAY,LATE_SHORT,28.32,29.31,30.4,30.35,36.22,36.03,36.42,37.07,37.19,37.55,37.62,38.09,38.16,28.35,29.39,30.06,30.45,36.07,35.58,35.89,36.57,36.79,36.51,36.65,36.24,36.24,35.623,historical_latest,2025-12-29,7,30.0,False,35.623,25.805133166416187,9.81786683358381,8.749027309921939,6.88666984339385,-5.069975622607714,-4.6399756226077145,38.046177751801594,31.848261831230694,23.630346313847024,-11.997109671533842,-10.979598436222188,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
SPOT,2026-01-05 10:32:57.692418,2026-01-05,,schwab,608.65,1785230.0,lastPrice,1767637728421,1767637727924,249.768,True,OPEN,OK,COMPUTED,49.074,32.839975447917155,33.28584993102189,34.59431653583166,30.255711478491488,28.845260008616354,32.839975447917155,33.28584993102189,34.59431653583166,30.255711478491488,28.845260008616354,36.26736468807995,35.98267685570274,38.173961750794625,-1.7543410879145045,Normal_Compression,609.2,579.87,582.25,575.0,785.0,443.21,33.65,5.85217391,,,2026-01-05 10:32:57.692418,0.009234038611111111,,Unknown,Unknown,Falling,,False,Unknown,Bullish,4.169693827411517,0.19132681904378535,Stable,14.884701243882473,53.806011417623104,Weak,33.41549731044412,True,0.6809205956401377,,0.0,,,False,14.479683464168339,Bullish,Unknown,4.818861414606102,1.2608695652173914,98.12478690760291,NORMAL,NO_GAP,NEAR_HIGH,22.464968152866245,37.32767762460234,48.40399075455689,MID_RANGE,NEUTRAL,33.65,5.85217391,STRONG_UP_DAY,LATE_LONG,35.25,35.27,35.34,35.78,42.83,41.27,41.47,42.16,41.39,42.47,43.06,43.98,44.17,35.03,35.61,35.87,35.77,42.19,40.97,41.11,41.76,41.01,41.67,41.66,42.02,41.88,49.074,historical_latest,2025-12-29,7,36.0,False,49.074,34.59431653583166,14.479683464168339,12.57428852150851,12.42473999138365,3.2160382492053756,4.886038249205377,41.85567143426799,41.560049019000786,43.07376666971371,8.424690814645224,12.79940049477225,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None
