Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts
BKNG,2026-01-02 12:43:37.738718,2026-01-02,,schwab,5314.06,110633.0,lastPrice,1767386333083,1767386295840,321.898,True,OPEN,OK,COMPUTED,21.212,,,,21.212,,,,,,,,,,,,,,,,,,,,,,,10.147127276161465,19.328548829254952,26.815439635861672,28.971687801255648,26.257220441138983,10.147127276161465,19.328548829254952,26.815439635861672,28.971687801255648,26.257220441138983,24.4867322446435,23.660402055235203,24.042269808491152,-16.66831235970021,Normal_Contraction,5358.56,5251.32,5356.79,5355.33,5839.414,4096.23,-41.27,-0.77063412,,,2026-01-02 12:43:37.738718
AZO,2026-01-02 12:43:37.738718,2026-01-02,,schwab,3289.245,121607.0,lastPrice,1767386332230,1767386333644,284.094,True,OPEN,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.914983355008378,31.600202552455876,29.393872258537172,26.077403085176336,23.70411520362195,19.914983355008378,31.600202552455876,29.393872258537172,26.077403085176336,23.70411520362195,23.123890934796727,22.93483115009928,22.95112918089597,-9.478888903528798,Normal,3384.25,3285.16,3375.31,3391.5,4388.11,3162.0,-102.255,-3.01503759,,,2026-01-02 12:43:37.738718
MELI,2026-01-02 12:43:37.738718,2026-01-02,,schwab,1978.86,419561.0,lastPrice,1767386336603,1767386334359,283.379,True,OPEN,OK,COMPUTED,31.318,,,,31.318,,,,,,,,,,,,,,,,,,,,,,,18.09408328271265,29.82453335208744,39.66168414331657,42.23316371734535,40.8657176386896,18.09408328271265,29.82453335208744,39.66168414331657,42.23316371734535,40.8657176386896,37.63939506813151,35.99422702799231,35.61215751607654,-21.567600860603925,Normal_Contraction,2035.0,1968.88,2027.55,2014.26,2645.22,1698.53,-35.4,-1.75746924,,,2026-01-02 12:43:37.738718
MKL,2026-01-02 12:43:37.738718,2026-01-02,,schwab,2130.79,30162.0,lastPrice,1767386306347,1767386331339,286.399,True,OPEN,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49384576209656,13.707617218682907,12.466066974277062,19.58455023327733,18.537946880870987,10.49384576209656,13.707617218682907,12.466066974277062,19.58455023327733,18.537946880870987,19.16492280252151,18.551319651630976,19.12724519686727,-1.9722212121805036,Low_Compression,2159.91,2130.78,2143.33,2149.65,2207.59,1621.893,-18.86,-0.87735213,,,2026-01-02 12:43:37.738718
FCNCA,2026-01-02 12:43:37.738718,2026-01-02,,schwab,2154.31,40054.0,lastPrice,1767386336275,1767386331203,286.535,True,OPEN,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.110759045526349,18.321398702546936,17.899849650358018,27.034052285483934,26.38546944699787,12.110759045526349,18.321398702546936,17.899849650358018,27.034052285483934,26.38546944699787,26.71492555731068,26.278416246360297,26.72895721272834,-5.789090604831669,Normal,2164.84,2118.9258,2136.43,2146.18,2412.929,1473.62,8.13,0.37881259,,,2026-01-02 12:43:37.738718
FICO,2026-01-02 12:43:37.738718,2026-01-02,,schwab,1636.4,170034.0,lastPrice,1767386311533,1767386312728,305.01,True,OPEN,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.238060699992232,28.10377806713352,29.60356097468468,39.041627956252135,46.27872859073522,25.238060699992232,28.10377806713352,29.60356097468468,39.041627956252135,46.27872859073522,43.82577098419333,43.58878706241323,49.96279853537224,-4.365500274692447,Normal_Compression,1691.03,1603.37,1691.03,1690.62,2217.6,1300.0,-54.22,-3.20710745,,,2026-01-02 12:43:37.738718
TDG,2026-01-02 12:43:37.738718,2026-01-02,,schwab,1356.02,193684.0,lastPrice,1767386326482,1767386329571,288.167,True,OPEN,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.879341601894929,19.479836113916036,17.65265716069807,22.128139460374417,20.671769294681976,12.879341601894929,19.479836113916036,17.65265716069807,22.128139460374417,20.671769294681976,28.135509710563177,26.294554428614397,26.798033727009894,-4.773315558803141,Normal_Compression,1359.98,1319.75,1329.03,1329.85,1623.825,1183.6,26.17,1.96789112,,,2026-01-02 12:43:37.738718
NFLX,2026-01-02 12:43:37.738718,2026-01-02,,schwab,91.3698,29994633.0,lastPrice,1767386335736,1767386336684,281.054,True,OPEN,OK,COMPUTED,39.275,,,,39.275,,,,,,,,,,,,,,,,,,,,,,,15.734411963902406,25.137117352804378,31.627027006986513,36.05653437211125,32.20321345377645,15.734411963902406,25.137117352804378,31.627027006986513,36.05653437211125,32.20321345377645,31.16847443512497,29.757869015358978,29.6827142112735,-15.892615043084106,Normal_Contraction,94.13,90.82,94.13,93.76,134.115,82.11,-2.3902,-2.54927474,,,2026-01-02 12:43:37.738718
MTD,2026-01-02 12:43:37.738718,2026-01-02,,schwab,1410.15,60798.0,lastPrice,1767386332119,1767386303749,313.989,True,OPEN,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5240032035844,19.548890457872727,22.00730002810522,23.768768241943523,25.417584645643405,11.5240032035844,19.548890457872727,22.00730002810522,23.768768241943523,25.417584645643405,27.045657014362646,26.48493938262143,30.4813878125819,-10.48329682452082,Normal_Contraction,1413.99,1384.48,1398.87,1394.19,1525.17,946.69,15.96,1.14475072,,,2026-01-02 12:43:37.738718
TPL,2026-01-02 12:43:37.738718,2026-01-02,,schwab,297.5,240367.0,lastPrice,1767386328228,1767386280091,337.647,True,OPEN,OK,COMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2335655436125,43.99372996858572,41.5246306398072,42.70479581782212,41.527872462071144,32.2335655436125,43.99372996858572,41.5246306398072,42.70479581782212,41.527872462071144,42.03279431610074,40.28549942269348,39.96539657363617,-9.2910650961947,High,297.87,280.95,286.0,287.22,1462.78,280.95,10.28,3.57913794,,,2026-01-02 12:43:37.738718
